driverId,week,hours-logged,miles-logged
363,3,61,2500
377,36,57,3000
620,15,50,1900
342,44,56,900
442,22,69,3500
167,34,76,100
371,33,73,800
868,44,75,2000
987,33,51,2200
742,22,61,2000
561,16,57,1500
59,20,61,3000
535,50,57,2800
706,33,80,4000
748,2,67,3000
223,24,58,1500
378,37,80,1000
258,52,54,3500
61,23,52,1000
38,46,53,3700
534,36,57,2700
153,23,52,2200
229,5,75,2900
180,17,63,1000
17,51,57,200
105,3,77,1200
212,45,69,2500
380,10,65,800
939,13,52,500
657,24,72,300
674,49,76,2400
322,36,51,2300
730,17,64,3500
879,51,78,2600
151,39,67,700
421,45,78,700
484,28,71,3500
287,18,73,3700
995,3,65,3900
315,44,69,2100
642,11,59,3000
646,17,65,2100
552,2,60,2400
434,38,68,3000
681,38,52,200
909,45,55,1700
898,5,56,2900
845,19,67,3800
333,9,71,500
902,7,58,1600
897,32,50,3400
459,19,66,3200
376,39,53,1300
743,14,77,1900
423,42,73,3600
853,46,69,1200
545,2,76,3500
499,1,58,3300
318,44,71,2700
195,28,50,2800
497,12,60,2000
623,38,62,1100
295,34,70,500
724,7,75,1600
631,14,69,2500
447,33,71,3500
963,48,71,2800
884,51,63,1600
733,10,51,1300
342,29,61,2800
579,40,72,2600
469,28,70,600
332,30,72,1000
806,17,80,1800
726,15,51,1300
645,2,71,200
138,17,53,2800
507,37,73,3000
340,11,77,1700
921,23,50,1000
657,50,51,2400
179,49,70,4000
272,39,58,3200
267,41,63,2500
189,7,70,1400
386,23,77,1800
603,27,56,2000
277,27,65,100
913,33,59,100
589,37,69,1600
387,3,80,4000
604,28,65,2200
271,4,74,1600
324,27,69,3200
815,29,76,1300
433,32,63,700
291,44,61,4000
406,20,55,3300
97,16,57,2800
98,11,66,3500
818,37,65,3300
794,44,68,900
800,21,51,700
866,51,53,300
928,20,50,3000
551,28,73,3800
49,39,50,3400
929,2,76,3000
866,10,62,2400
391,28,70,400
833,39,66,300
220,30,51,1700
751,36,51,3500
634,31,77,1400
580,50,76,2900
430,45,54,1600
819,29,54,1300
17,28,79,1900
803,27,59,2300
516,19,71,2600
259,50,67,1000
778,50,59,2500
881,21,66,1600
262,23,58,2900
630,42,54,3000
519,28,59,1200
179,33,66,2100
902,46,61,2700
707,5,80,1300
558,15,53,1100
349,18,76,300
501,6,61,200
792,34,56,1900
475,39,77,400
794,40,60,1700
72,14,76,3100
967,5,66,1800
129,17,50,3900
840,38,78,2000
13,17,59,4000
946,50,76,0
451,11,72,3600
733,4,62,3000
755,46,53,400
518,51,62,200
926,34,59,500
750,18,56,2700
860,34,68,400
306,6,57,2200
700,18,62,1600
328,50,71,3900
697,32,53,2800
312,3,67,1900
355,23,51,3900
737,22,57,3900
820,32,63,2400
54,17,70,2200
425,30,52,3000
168,24,77,2100
746,50,68,1100
829,3,74,0
761,14,62,3100
227,48,57,800
880,35,61,4000
211,20,59,1100
736,15,65,3400
256,41,74,2500
190,5,53,2500
960,50,71,300
811,12,65,2900
39,1,57,2600
923,31,51,1300
154,20,65,1100
558,46,71,1200
652,20,72,3300
638,19,80,2000
740,12,73,3200
869,52,63,1900
882,24,63,2200
288,41,66,800
745,42,71,1400
223,52,53,1000
164,32,52,400
261,35,67,1500
311,31,70,1300
743,28,77,2200
750,27,76,1100
952,30,69,2200
137,35,79,1800
482,21,60,3000
737,7,66,1800
120,4,50,2200
777,31,73,1700
244,2,63,700
343,5,55,0
960,21,68,500
687,39,55,400
172,33,55,1200
869,29,57,2300
97,37,74,1900
363,25,64,2900
276,51,56,3900
214,44,77,2200
421,33,72,1600
165,24,61,2400
312,23,74,3400
351,26,56,900
412,35,65,600
118,52,79,1900
137,2,80,1700
603,11,63,2800
299,25,58,2800
231,10,73,400
315,42,58,900
479,17,59,1400
436,37,60,700
124,39,57,1100
87,23,68,2300
916,2,71,400
768,33,68,2000
972,8,55,2100
352,2,79,700
215,51,77,1700
332,43,63,0
164,11,74,500
681,38,54,1000
302,20,62,1100
40,42,73,1200
785,26,55,3100
963,32,57,2800
916,21,63,200
802,1,78,3400
569,6,51,2600
98,23,64,1200
952,32,50,4000
166,21,75,400
711,22,66,1000
282,48,57,800
634,30,67,3300
971,52,51,300
178,13,61,300
490,46,54,3300
749,22,66,500
153,35,80,2400
192,13,58,1400
219,26,52,3600
957,18,68,3700
819,36,57,600
727,38,54,800
162,43,75,3000
446,25,60,300
922,2,69,1100
188,21,66,1800
99,39,56,300
118,50,53,300
433,10,79,3100
365,23,80,2400
185,12,74,3100
620,52,69,300
154,9,72,1500
540,38,50,1800
105,4,59,3200
498,5,77,500
625,31,76,1100
518,13,80,600
400,21,67,3700
786,14,79,1400
1000,45,66,3400
637,43,69,3600
148,32,73,900
523,52,60,1300
61,35,64,3600
876,42,50,1200
1003,22,67,2200
251,31,77,2700
840,34,69,3700
85,40,67,3200
348,23,76,3200
666,39,70,2900
592,40,73,2800
370,21,77,2900
260,16,74,200
710,6,73,3800
49,51,50,3200
852,21,68,2400
561,28,70,1500
770,40,70,3000
211,45,76,900
461,19,76,3800
702,29,51,1200
547,26,68,4000
575,38,78,400
522,46,62,2900
119,41,62,2500
220,40,69,1600
894,21,65,2500
554,35,80,2300
461,13,80,1100
476,9,61,900
22,46,53,600
289,42,57,3800
956,29,56,3000
613,41,58,1000
636,3,52,1500
300,33,75,2600
235,33,78,3000
831,28,79,2100
78,2,79,600
769,40,55,2600
530,35,80,2600
560,26,66,1100
886,14,79,100
447,52,79,3800
164,18,54,500
678,51,74,3800
498,16,51,3600
602,4,67,1100
170,37,71,2400
985,45,61,900
883,1,77,1800
338,40,60,300
660,8,64,3700
53,31,70,100
777,52,52,3900
250,45,57,0
582,12,54,900
226,23,57,700
870,45,77,1900
516,15,70,900
546,19,62,2400
619,51,67,2200
557,52,55,200
347,40,75,1500
325,24,51,600
608,27,52,1500
574,16,60,4000
190,45,64,800
922,25,75,200
810,20,51,1300
335,28,74,900
673,21,69,1200
675,23,70,400
675,26,68,1000
529,51,63,1400
967,32,62,400
791,48,69,3800
975,34,65,2500
678,17,79,1700
939,11,77,1500
34,14,75,1800
783,30,57,2900
759,10,52,1200
732,2,67,3200
569,52,50,3200
194,36,61,2700
115,30,79,1000
804,31,72,3600
677,36,75,400
982,9,80,900
60,10,67,2000
700,23,75,3600
722,13,65,3900
672,49,70,2200
297,48,69,1300
168,47,64,0
446,6,53,1000
50,36,76,3100
474,27,65,4000
649,9,58,4000
623,36,56,3900
608,13,50,0
152,48,74,3100
647,17,79,1200
132,52,77,500
139,41,56,100
799,43,66,2400
540,9,71,1500
809,51,74,3200
320,35,62,300
487,27,69,2000
578,13,57,3000
483,20,70,3800
787,25,80,1400
889,38,63,2900
745,37,68,3000
90,48,54,2500
946,50,61,3400
1009,43,70,2400
473,39,75,1000
966,27,56,2900
177,32,64,900
524,16,62,1100
740,34,56,200
759,42,77,0
755,10,74,1100
59,41,53,3300
902,36,59,2500
885,52,63,2200
74,20,66,2900
333,48,63,3700
79,35,68,700
233,34,51,3400
182,34,63,3800
433,17,53,2500
693,21,74,2700
552,52,50,1000
351,33,51,500
620,34,65,2200
509,38,74,800
974,31,56,900
575,27,50,1500
696,15,68,3700
736,25,54,1100
215,20,53,2300
557,30,75,1400
482,47,57,2100
387,16,54,900
598,11,73,2500
263,2,62,1500
312,29,67,800
817,32,63,0
593,47,50,2700
841,52,77,100
598,48,52,3800
772,51,56,3400
654,31,53,1300
693,38,55,1200
734,51,74,400
965,52,56,2500
823,38,73,4000
632,43,60,2200
271,15,75,1900
1000,39,60,3900
164,36,52,2200
330,31,56,1500
13,45,59,3800
516,34,59,0
514,27,67,1200
148,23,66,3800
66,49,58,2300
365,33,50,2700
963,29,56,3800
625,8,70,2400
299,12,50,1800
618,20,73,3600
329,8,79,1800
719,38,57,3100
317,15,75,300
104,38,54,2200
712,16,60,700
653,1,77,2300
79,44,58,3400
637,18,70,1500
712,43,70,800
1007,41,77,1600
12,4,63,1000
559,31,69,2800
976,52,58,2600
543,23,55,2700
933,11,64,1500
850,6,69,2100
292,48,66,400
757,45,74,1900
374,37,55,900
449,19,61,3900
875,43,63,2400
164,35,52,3100
575,15,56,2500
751,4,69,1400
680,7,59,2700
231,22,55,1800
341,5,69,4000
538,49,75,500
463,39,64,700
903,51,80,3100
492,47,66,500
548,35,68,3800
580,14,51,3800
912,2,68,3100
961,52,68,700
181,11,64,400
302,7,80,1700
857,41,60,3900
889,8,55,0
325,10,58,1900
288,21,53,3100
13,22,54,3200
763,38,77,3100
851,24,69,200
739,41,68,400
934,46,62,3700
622,31,68,1200
135,25,57,100
910,43,72,1200
710,15,77,3100
883,44,68,3500
61,35,71,1200
594,13,62,3500
344,39,50,1800
252,46,78,4000
631,25,73,2300
447,28,70,1400
682,16,70,1300
223,21,73,1600
569,25,72,1400
56,5,67,1900
986,7,79,3300
213,6,62,2000
233,44,77,3000
100,20,73,2700
217,52,61,300
495,16,60,3500
284,40,64,3900
630,14,79,1000
675,1,74,1500
989,44,54,1700
618,37,51,3000
462,20,53,1700
443,51,69,700
725,35,70,3700
669,20,72,2300
610,46,70,3900
462,14,66,2500
322,45,75,2500
339,29,56,300
566,43,55,2000
19,44,53,3400
469,34,75,3600
392,3,56,1700
214,17,63,3000
866,11,65,1100
196,11,57,2400
798,15,76,2700
530,9,58,2100
549,44,68,200
782,42,68,900
940,2,66,3200
730,30,50,1600
147,17,68,2900
563,32,57,1000
615,52,51,600
399,49,73,1700
601,6,70,3500
320,38,68,2400
55,8,68,3800
366,2,56,1300
102,36,51,2800
967,6,71,800
259,29,76,600
209,51,75,300
746,18,57,1800
703,49,76,2900
740,14,52,400
350,18,55,2800
678,13,50,1400
379,29,72,3500
271,20,56,1100
308,27,67,1100
449,10,73,1100
503,24,78,600
255,11,55,3200
363,6,76,400
755,39,67,500
630,8,61,700
477,22,78,2900
322,49,56,1600
624,4,75,400
11,44,76,2000
44,42,79,3000
171,8,72,2200
159,39,50,1400
402,10,51,600
694,5,63,3800
146,6,63,800
313,7,73,3800
283,32,73,2100
312,26,52,3700
751,9,68,1200
894,34,60,1600
702,24,79,1700
934,49,65,2500
464,49,52,100
151,7,66,2400
134,39,62,3300
170,49,51,2000
549,23,78,3200
488,33,53,1500
844,33,80,2700
748,5,55,2200
268,19,79,100
952,4,59,3000
146,15,76,0
436,14,53,3200
764,10,63,1500
540,25,58,2100
635,44,78,1300
650,52,76,2700
494,46,50,1200
712,10,59,1300
480,38,72,700
786,37,53,3100
241,15,77,200
101,28,50,600
221,40,77,3900
456,14,75,2700
196,12,68,700
123,48,59,3400
323,36,72,2300
64,25,72,3500
101,12,78,1700
731,9,69,900
933,19,59,3400
920,23,79,3600
779,13,67,1000
822,47,66,3800
400,5,74,1700
786,44,77,2000
118,37,68,1700
994,43,63,1000
570,16,71,500
708,1,58,300
152,2,64,3400
755,25,71,800
475,46,70,1400
795,26,70,1200
935,40,77,1000
963,1,70,100
468,50,54,2100
490,33,66,700
506,23,70,1300
970,34,60,3900
948,32,76,2900
624,32,78,500
19,47,60,100
469,29,58,700
725,43,77,3500
785,52,62,400
408,4,53,1400
866,35,73,3600
895,48,65,2200
423,46,80,2200
400,7,55,1800
672,50,67,400
434,40,76,3000
454,37,66,0
576,8,69,800
946,4,65,1900
897,42,65,1300
455,32,50,2900
976,29,67,3800
229,42,53,4000
183,21,65,100
823,20,70,1500
506,50,73,700
173,7,67,300
611,36,61,300
37,14,56,3600
723,24,70,300
110,24,71,1100
71,33,69,3400
115,3,70,2000
932,3,63,200
677,39,51,1100
685,49,65,3100
528,25,65,3600
668,22,55,1900
231,52,66,800
301,4,72,800
319,30,72,2800
293,34,76,3000
25,26,58,2600
174,5,75,300
920,40,61,1800
232,40,53,3600
161,5,66,2300
97,51,80,3600
602,42,69,1600
825,34,73,1700
669,27,54,2400
809,23,64,700
160,16,60,2600
559,45,58,3800
182,24,62,2800
151,49,60,3100
18,8,62,1400
784,4,56,3400
354,18,51,3800
355,34,52,3200
747,24,74,1300
504,45,59,1500
769,3,65,2600
887,20,76,2000
907,42,51,1000
718,11,75,1100
994,29,70,0
635,46,53,3600
691,17,73,1400
648,31,71,3500
416,51,68,3600
848,16,70,1400
831,35,64,2000
895,52,80,3300
103,34,60,200
278,35,71,300
226,30,52,1600
26,10,55,900
629,44,72,3800
550,10,71,3000
134,14,50,1000
279,40,70,3900
301,24,67,1700
965,10,58,4000
313,36,64,800
568,25,59,2300
544,36,51,2900
717,17,53,3500
342,51,53,2800
677,28,73,3000
932,8,55,3600
985,44,51,1900
245,46,58,1300
628,12,76,3800
364,34,50,3800
727,37,58,1900
760,2,53,1200
24,49,77,1100
392,39,50,1300
288,7,74,1000
920,24,65,2200
235,12,63,2200
350,1,62,200
582,32,65,900
155,50,50,2200
517,3,76,2800
780,34,57,3600
417,23,52,100
421,50,78,1700
379,41,65,500
167,10,80,2600
354,30,71,100
992,18,53,700
106,33,70,300
565,49,73,2700
155,1,78,700
684,22,77,1000
332,26,57,4000
498,48,64,1600
55,7,61,3500
305,23,53,700
458,20,66,700
1002,28,70,2700
785,13,57,1800
364,41,68,2100
80,43,63,500
443,47,65,1100
364,13,72,500
632,39,56,1200
528,43,70,1700
682,47,56,1200
592,16,51,1000
154,39,66,400
677,44,50,1500
405,14,61,2500
865,4,80,1100
137,25,64,600
243,41,50,2000
71,31,68,1700
83,49,70,1100
729,47,62,1400
998,17,65,1700
78,23,75,1900
138,49,62,2500
145,18,64,2600
958,21,54,900
692,2,71,700
151,22,55,2100
818,37,50,3900
846,18,71,1400
370,38,55,2300
884,15,66,1700
352,4,72,2600
403,51,72,2200
660,16,72,3000
889,38,63,3900
931,13,60,1100
381,16,64,3600
101,44,65,4000
425,3,57,700
956,14,66,2700
538,24,76,2200
916,27,56,3200
641,3,61,2400
767,32,58,200
161,10,79,3600
241,32,65,3900
739,31,53,400
279,8,66,2600
464,27,63,4000
650,19,51,2400
69,11,59,2000
929,42,66,1300
258,11,52,400
408,27,55,500
661,9,50,2600
752,15,51,2000
714,26,55,300
113,29,68,3500
375,44,79,1600
200,18,59,3000
828,24,60,800
526,4,61,1300
126,12,77,4000
165,28,77,1600
494,45,61,3800
561,28,69,1600
517,6,54,400
370,35,52,200
828,2,52,1300
700,19,77,3000
909,27,79,600
304,48,64,4000
865,29,54,1600
349,29,80,3900
632,22,68,1400
517,49,75,3300
680,31,59,1500
597,13,66,2800
651,9,62,1000
327,44,69,800
758,28,75,3100
602,26,62,1600
373,10,79,2100
523,29,77,2200
355,20,66,200
573,19,62,200
917,6,69,2400
927,33,55,3500
374,22,62,2300
115,50,55,2500
85,41,78,900
